probe,p_val,t_stat,p_adj
213413_at,4.576524871186894e-39,20.523662494008594,2.4160895095817707e-37
201147_s_at,5.602558358399801e-39,19.036328659621677,2.8591722822366983e-37
201842_s_at,6.058957791428855e-39,18.70984909403651,2.992343347960509e-37
211571_s_at,6.344261946050684e-39,18.810527091684524,3.035332824813624e-37
216321_s_at,6.611308736738702e-39,18.741555792919563,3.0672465684687734e-37
225265_at,6.92203974152852e-39,19.19385771811832,3.11695377772946e-37
227061_at,7.439896740239188e-39,21.70281412095586,3.2544234026589132e-37
209209_s_at,8.04740541533642e-39,20.02403349493667,3.4223826919111275e-37
203083_at,9.735678730240258e-39,18.679777334505008,3.9224537199994305e-37
204619_s_at,9.676794166029583e-39,18.64501929912625,3.9224537199994305e-37
212298_at,1.9664265401039896e-38,18.61655172378991,7.52649758224802e-37
225651_at,1.9628725670741077e-38,18.48798421858011,7.52649758224802e-37
211597_s_at,2.0825711989623403e-38,18.656681588083075,7.7766256234423e-37
213429_at,3.880439588216365e-38,18.64764866602775,1.414512621323632e-36
212636_at,5.357521012543318e-38,18.41587653501477,1.90752666748926e-36
202995_s_at,5.832636623862122e-38,18.407868061776764,2.0294924252574794e-36
201141_at,6.914994671527842e-38,18.293689339622023,2.3526348538020285e-36
201617_x_at,7.132790889789775e-38,18.233553520174592,2.3739788809278575e-36
201616_s_at,7.495962425602787e-38,18.266054530100206,2.441769887999546e-36
201150_s_at,8.020977214823162e-38,18.22842629759892,2.5583575241446375e-36
226066_at,8.395464555147867e-38,19.245056332325582,2.623154333455385e-36
213125_at,8.722602750349059e-38,19.176142557382246,2.670860962156882e-36
218656_s_at,9.269150570740785e-38,18.290106049046507,2.782562651726302e-36
203817_at,9.608603921703233e-38,18.339984260909308,2.8289947315630097e-36
224694_at,1.4075905341606913e-37,18.146245374770178,4.0660775618868274e-36
226834_at,1.7346557643842177e-37,18.636390521254214,4.918070324578217e-36
208131_s_at,2.2433211031521478e-37,21.249037342912153,6.24459019804716e-36
225968_at,5.009575375922707e-37,19.811258553084556,1.3695821250960114e-35
201058_s_at,5.6264766292148155e-37,18.972251662366343,1.511251880583839e-35
227566_at,6.0925032419198725e-37,17.963111575462214,1.6082107695481595e-35
238623_at,8.162795903649249e-37,20.075613912383727,2.1181763607605085e-35
238478_at,1.3846397618628656e-36,21.227159939129276,3.5331391256867453e-35
209621_s_at,1.50264026483226e-36,19.104808815947912,3.7713807302593275e-35
203688_at,1.8526902937459095e-36,17.845468066366532,4.5749497414919157e-35
212262_at,2.2791225323557585e-36,18.273828596921668,5.452088432869791e-35
219087_at,2.2744694872394596e-36,17.87800951195371,5.452088432869791e-35
213905_x_at,2.393808076264325e-36,17.5898622434194,5.638338715016434e-35
201843_s_at,3.847380194484467e-36,19.102992309438523,8.924756178417755e-35
205168_at,4.1384206200171994e-36,19.87018602895048,9.456599954099004e-35
229802_at,7.562505745901052e-36,17.529149153889698,1.7026759260256632e-34
228176_at,8.105868779765173e-36,17.880512035733076,1.7985630582348521e-34
217967_s_at,1.17418053595497e-35,17.509573370068406,2.5681005722100843e-34
209656_s_at,1.222300179441237e-35,17.285869144082653,2.635692358766949e-34
204051_s_at,1.6797293916067455e-35,18.32361061089069,3.571757914652677e-34
221730_at,1.9581240188612728e-35,17.17159007051574,4.106695716269327e-34
204939_s_at,2.239565470894807e-35,19.158795552042687,4.633479372891823e-34
203695_s_at,2.474201016353304e-35,19.177508651060027,5.0506690080492116e-34
201261_x_at,2.5995184002557656e-35,17.287169679395916,5.236661408936286e-34
212764_at,2.7689945257439467e-35,17.712723835291595,5.50562418040777e-34
212397_at,3.7672155964458016e-35,17.091035764210975,7.394368048921183e-34
214844_s_at,3.8696155698141976e-35,19.33119362346697,7.49921700934878e-34
202765_s_at,4.149722086977878e-35,18.19414611774696,7.941530643953914e-34
226152_at,4.842372255096509e-35,18.381723344366478,9.152681385867598e-34
202994_s_at,5.694502235320663e-35,17.466689002886028,1.0632052344238947e-33
205880_at,5.937684026970496e-35,19.2229555091823,1.0952523187098591e-33
207191_s_at,6.717816841917644e-35,17.455270248270807,1.2099973629383426e-33
209897_s_at,6.683050705250304e-35,17.495235452337226,1.2099973629383426e-33
201431_s_at,7.247675817176491e-35,16.928145987112845,1.2902548460578147e-33
228827_at,1.0073864060446867e-34,18.76483432017701,1.7727684915567992e-33
226769_at,1.1651747188261056e-34,17.36958896628262,2.027139198321327e-33
227070_at,1.4355543065906911e-34,16.959727574256355,2.4694760038093797e-33
219778_at,1.5488283734253609e-34,19.92505011728865,2.6057760875980525e-33
225021_at,1.5377932332168122e-34,17.16677857886534,2.6057760875980525e-33
1555229_a_at,1.957940372985032e-34,16.828905420170024,3.258268164174004e-33
