probesets,p_val,t_stat,p_adj
222889_at,2.5041063613786847e-4,-3.7757844028945278,9.402310616281468e-4
1559607_s_at,2.50601534657676e-4,3.790400877920478,9.408158291399638e-4
222442_s_at,2.507670332933788e-4,3.7640247119947072,9.412809467211265e-4
224138_at,2.507678501890064e-4,-3.7721013801757857,9.412809467211265e-4
242143_at,2.5085341503841227e-4,3.7730658523438922,9.415224809548798e-4
240684_at,2.510659556761856e-4,-3.765182495711568,9.421608273260665e-4
243368_at,2.5105027160014564e-4,-3.763750431779788,9.421608273260665e-4
207828_s_at,2.511209963447141e-4,-3.76591450234429,9.422876892268467e-4
206254_at,2.512292862015855e-4,-3.7638369602496824,9.426143210615841e-4
1554384_at,2.5128738498282594e-4,-3.7650714507174365,9.427525962641953e-4
241886_x_at,2.5139699988501797e-4,-3.7641236501854607,9.430841043112412e-4
225036_at,2.5145249678487603e-4,-3.7659009097903935,9.432125566212065e-4
234905_at,2.516022879228163e-4,-3.7835088025960193,9.436946603478129e-4
229471_s_at,2.5169035303287366e-4,-3.7646334313153313,9.439354754458526e-4
240849_at,2.5170903619044e-4,-3.777993491239897,9.439354754458526e-4
207590_s_at,2.5188180530256776e-4,-3.763360870562508,9.445035584165493e-4
1565777_at,2.5190955630521845e-4,-3.7833242692683724,9.445278040594903e-4
231261_at,2.520226851096423e-4,-3.7685356270281067,9.448721402281497e-4
216228_s_at,2.5209730996122326e-4,-3.7637042304672232,9.450720731206626e-4
1552689_at,2.5218735220383724e-4,-3.7889491626146117,9.453297646600167e-4
1558493_at,2.5254799762758514e-4,-3.7751105512218937,9.466016888862312e-4
201695_s_at,2.5268266025892024e-4,-3.777111106203642,9.470264399484448e-4
232294_at,2.529120650643882e-4,-3.7670100066935914,9.478061723868108e-4
227611_at,2.535911163267262e-4,3.7668975271017975,9.50270713308434e-4
214445_at,2.537644958572802e-4,-3.7690484586345927,9.508401168341475e-4
203898_at,2.5405374905625134e-4,-3.778513607886462,9.518435591329917e-4
223691_at,2.5459779641761503e-4,3.7645798870834963,9.538013690191361e-4
216668_at,2.5473300546472794e-4,-3.773523953635046,9.542273440399546e-4
1553717_at,2.548360477272636e-4,3.780628726422355,9.545327608590632e-4
1554542_at,2.5486124765989975e-4,-3.7735658162656778,9.545465787397072e-4
214411_x_at,2.548941429330221e-4,-3.7766333280305138,9.545892136596215e-4
234847_at,2.5530346839700816e-4,-3.7679718046512467,9.560414692082056e-4
214826_at,2.554058158290485e-4,-3.768950635075122,9.563440281338308e-4
1570480_s_at,2.5560687489637813e-4,-3.759720138653695,9.570161216273017e-4
1562472_at,2.556951533229584e-4,-3.7596458792110763,9.572658760403508e-4
236782_at,2.557805467049104e-4,3.7681793745689314,9.575047882596927e-4
1552953_a_at,2.5580552414335633e-4,-3.760646458392635,9.575175144547817e-4
242883_at,2.558904841030866e-4,-3.7664469602211637,9.577547429212608e-4
214486_x_at,2.5624683369382606e-4,3.7594459964423206,9.590076111295886e-4
213431_x_at,2.5632593158867947e-4,-3.7707007128548145,9.592227369073749e-4
1560241_at,2.566487481676162e-4,-3.77386441933556,9.603497934006213e-4
205679_x_at,2.5688894759314234e-4,3.7838146308522354,9.611675421117783e-4
222680_s_at,2.5695093591573384e-4,-3.759401381718944,9.613184201383264e-4
217633_at,2.5714264767406984e-4,-3.7586662163040394,9.619545599845598e-4
225711_at,2.5726186610637835e-4,-3.761563737418033,9.62319422445464e-4
214331_at,2.5740797964239197e-4,-3.756655685730671,9.627848193384309e-4
244035_at,2.5757976290626916e-4,-3.756523759816036,9.633461423485624e-4
1553086_at,2.577320400742362e-4,-3.7572348365120467,9.638344242621129e-4
222051_s_at,2.5776218637361796e-4,-3.760255900502319,9.638659324453777e-4
213521_at,2.578052175922542e-4,-3.757563178673932,9.639456126269195e-4
216916_s_at,2.5799964551441717e-4,-3.7639051517344795,9.645913109530931e-4
209276_s_at,2.5818139883572016e-4,-3.7574628069797176,9.651414458191052e-4
243296_at,2.581902896522501e-4,3.7669011960182184,9.651414458191052e-4
227156_at,2.585038723444432e-4,-3.7665069764031327,9.662322553305818e-4
218205_s_at,2.5886948580785223e-4,-3.7565293514167943,9.672359529471528e-4
223670_s_at,2.5889297848531343e-4,-3.755203029309717,9.672359529471528e-4
225960_at,2.588660233123177e-4,-3.762806186896766,9.672359529471528e-4
226785_at,2.5890008221355704e-4,3.7582726804325914,9.672359529471528e-4
231295_at,2.5887405574484833e-4,-3.7550739430495415,9.672359529471528e-4
234668_at,2.589031808249303e-4,-3.7570971289731125,9.672359529471528e-4
214750_at,2.592439981932436e-4,-3.762475509346821,9.684276807664942e-4
224650_at,2.5934426427388224e-4,-3.811215976177914,9.68720684103832e-4
1555931_at,2.593704949875438e-4,-3.755633399139177,9.687371193563048e-4
221629_x_at,2.5945583435236217e-4,-3.76975076679942,9.689743014127311e-4
1566761_a_at,2.599407961984906e-4,-3.7568076750702595,9.707037643110342e-4
216654_at,2.6013434107571295e-4,-3.7627767844892612,9.712636143429926e-4
234127_at,2.6013449141332884e-4,-3.7575039330476026,9.712636143429926e-4
215625_at,2.6019255589528615e-4,-3.7589253821602413,9.713986764137071e-4
207854_at,2.6034781531338036e-4,-3.756719991560489,9.71896551235068e-4
240767_x_at,2.603728047964081e-4,-3.762193071166648,9.719080764502531e-4
207770_x_at,2.605071831474534e-4,-3.764005442856566,9.723278873049243e-4
219847_at,2.6075830123108737e-4,-3.767055516805365,9.731833151496637e-4
240295_at,2.6131980417901606e-4,-3.7562147911089823,9.751968976910132e-4
203988_s_at,2.614647637806218e-4,-3.758815874710845,9.756558100206099e-4
226501_at,2.6177528169338976e-4,-3.761558723685363,9.767323740977189e-4
238778_at,2.618876891105117e-4,-3.7752214001843947,9.77069632106857e-4
240932_at,2.6208466400749915e-4,-3.7524204896302717,9.777223173882115e-4
1558544_at,2.62184030320292e-4,-3.764256369033773,9.780107889595627e-4
233928_at,2.6229977454220383e-4,-3.767303175136766,9.783603005220052e-4
233260_at,2.623648005570077e-4,-3.755286324053899,9.785205937735094e-4
1553984_s_at,2.629695862994255e-4,-3.7765022536437063,9.806436939165317e-4
235865_at,2.6297825256578537e-4,-3.7507830058949856,9.806436939165317e-4
1560548_at,2.630091190510044e-4,-3.7599773312111013,9.806763850002788e-4
221380_at,2.6343455740721197e-4,-3.7601123661290505,9.821801785368032e-4
1568879_a_at,2.6375416884610707e-4,-3.7499136274301703,9.832742378474279e-4
237190_at,2.637723161089754e-4,-3.7511237040411136,9.832742378474279e-4
33579_i_at,2.639671484339836e-4,-3.7647031583262685,9.839178674303254e-4
1554464_a_at,2.6409411454460924e-4,3.7684062899407493,9.843084438868666e-4
214013_s_at,2.642961066980479e-4,-3.7550020378268316,9.84978561747365e-4
212141_at,2.6433628550257747e-4,-3.7564861326393943,9.850455718153238e-4
1561199_at,2.6462371103639184e-4,-3.750256720087994,9.86033854835829e-4
227192_at,2.648644201225868e-4,3.765887506128965,9.868479129252553e-4
218536_at,2.650044377036914e-4,-3.7518363880679977,9.872867033079763e-4
236641_at,2.651553311804744e-4,-3.761045071893273,9.877659352865642e-4
237015_at,2.657014342112306e-4,3.766884894597859,9.897172117118574e-4
234463_at,2.6576807423763367e-4,-3.7544693376471523,9.89882348018717e-4
40562_at,2.664908747921039e-4,-3.7505794751897557,9.924911933612765e-4
238470_at,2.670044599094158e-4,-3.752260736912004,9.943204857737768e-4
210663_s_at,2.6702851974311323e-4,3.7548762411118046,9.9432663955699e-4
1553136_at,2.670609360602867e-4,-3.7508114663350196,9.9436390650069e-4
240963_x_at,2.6713847166510426e-4,-3.7473388472538534,9.945691484301536e-4
228359_at,2.6720437928127083e-4,3.775717325148939,9.94731068003892e-4
1567010_at,2.6732918556087283e-4,-3.749669795880449,9.951122061289937e-4
